ds,yhat,yhat_lower,yhat_upper
2023-02-08,26664.67176242041,3679.5248769857412,48952.24342799928
2023-02-09,25874.50299778504,2992.50048954527,49894.33057699339
2023-02-10,28810.878549015513,5605.0647603736825,52456.09586519046
2023-02-11,26158.24444940235,3814.022769935905,49011.03383598088
2023-02-12,25253.15923554291,2885.1922707712793,48629.603429306364
2023-02-13,26297.37025938182,4259.434405327814,48866.921593188454
2023-02-14,24887.36836961705,454.96822810778025,47442.8428875425
2023-02-15,25650.699661990602,3824.181490932523,47174.78163054907
2023-02-16,25303.08911394542,2082.0672258389886,47533.22067521376
2023-02-17,28671.998098502056,5424.331497617826,51532.605925559306
2023-02-18,26429.056228173475,3319.71848420017,51934.41087065256
2023-02-19,25898.72351850862,2762.3391693630138,47878.575799612016
2023-02-20,27271.70045406719,2549.6022406787583,50092.699182746175
2023-02-21,26134.78485092942,848.7112849625049,49272.00742160774
2023-02-22,27107.4459276679,4814.061381999201,51621.18285438214
2023-02-23,26899.163288632637,3111.18967603009,49707.54216670157
2023-02-24,30333.147074273213,8062.525642558918,53290.8723043588
2023-02-25,28078.87551760757,4188.936982597733,49581.26124180232
2023-02-26,27460.80331541125,3154.6285270239337,49473.2264398143
2023-02-27,28671.757578085548,4182.2853198874955,52082.236400538015
2023-02-28,27302.721007959346,4875.310550700028,50087.30776425337
2023-03-01,27979.27535199854,4864.4092735759,52000.600952277186
2023-03-02,27418.75692375592,3344.9078344708855,50059.10763164289
2023-03-03,30453.74607182332,5970.390531274142,52442.097485647566
2023-03-04,27764.333750550155,3839.8469821586646,50956.4604148968
2023-03-05,26686.52662399733,4181.966225756533,50145.93554041822
2023-03-06,27425.31629092494,4234.770585991234,50558.09290659014
2023-03-07,25584.12184768021,3156.929131966652,49353.13063670756
2023-03-08,25800.888530222284,2744.427223295569,48138.534928005676
2023-03-09,24804.90410825336,200.20828893431818,47259.15909512732
2023-03-10,27439.964482106152,3884.4998694234987,51473.870715131685
2023-03-11,24396.340700488014,454.47204980054903,47250.121623570754
2023-03-12,23018.917113046016,356.8836829283722,45980.51362776268
2023-03-13,23520.03351600939,3798.125611888446,46814.30269552886
2023-03-14,21508.746562079195,-1286.542701846557,45559.915669147194
2023-03-15,21626.797848668717,-2315.6209558439286,43251.84291130638
2023-03-16,20605.35352320975,-4057.6313201287985,44257.99615340063
2023-03-17,23288.14843525327,910.7379345197845,45707.56206339453
2023-03-18,20363.487012309273,-2407.39363997471,44821.45737753907
